観光地名,市町村,住所１（地番まで),説明,電話番号,営業時間,定休日,料金,ホームページURL
ゆずの里オートキャンプ場,毛呂山町,滝ノ入585,都心からわずか１時間で豊かな自然を満喫できるオートキャンプ場です。すべてのサイトにＡＣ電源があり、炊事場や温水シャワーも完備されています。また、町内の精肉店では、コンロや鉄板、紙皿などもつけたバーベキューセットを用意していますので、気軽にアウトドアが楽しめます（要予約）。,049-294-8812（ゆずの里オートキャンプ場）049-294-1878（バーベキューセットの予約・稲垣精肉店）,【宿泊】チェックイン13:00、チェックアウト11:00【日帰り（デイキャンプ）】9:00～16:00,平成22は3月27日から11月28日まで（11月は毎週土曜日と日曜日に限ります）,【サイト（1区画）】芝サイト5，000円、砂利サイト4，000円【レンタル用品】テント3，000円（4人用）、ガスコンロ1，000円、寝袋1，000円（1人用）、毛布200円ほか,http://www16.ocn.ne.jp/~yuzucamp/index.html
坂戸市民総合運動公園,坂戸市,大字石井1550番地,大・小体育室、屋外プール、テニスコート、トレーニング施設、軟式球場、多目的運動場等を備えた総合スポーツ施設として、坂戸市のスポーツの拠点となっています。夏季のみ営業の屋外プールや卓球場、トレーニング施設なども併設されています。,049-284-1771,＜体育館＞　９：００～２２：００＜庭球場＞　７：００～１８：００＜軟式球場＞　８：３０～２２：００＜多目的運動場＞　８：３０～１７：３０,・毎週月曜日（月曜日が祝日の場合は火曜日）・祝日の翌日（祝日の翌日が土・日曜日にあたる場合は火曜日）・年末年始,市内：一般５００円／小学生２００円／幼児無料  市外：一般８００円／小学生４００円 ,http://www.mizuno.co.jp/mizunowellness/shisetsu/sakado.html
武甲キャンプ場,横瀬町,横瀬4606-3,秩父のシンボル武甲山の麓にあるキャンプ場です。キャンプ場には併設して武甲温泉の入浴施設があり、大自然の中で遊んだ後に広々とした露天風呂などでゆっくり疲れを癒せます。営業時期は４月から１０月のみで、ご利用には事前のご予約が必要です。,0494-22-2153（武甲キャンプ場）,＊＊＊,１１月から翌年３月,テント・タープ各１張り含む１泊オートキャンプ普通車１台：５，０００円 ,http://www.yokoze.gr.jp/camp/index.htm
大鳩園キャンプ場,飯能市,上名栗大場戸1880,名栗川上流の名郷から５００ｍ奥に入ったキャンプ場です。園内は広い河原や滝があり、変化に富んでいます。谷川のせせらぎや鳥の鳴き声がさえずる静かで自然豊かなキャンプ場で、日帰りのデイキャンプや宿泊キャンプ、バンガロー、渓流釣り、川遊び、ハイキングなどがお楽しみ頂けます。,042-979-0041,９：００～１７：００,＜営業期間＞３月～１１月まで※営業期間中は定休日なし,＜入場料＞大人３００円/子供２００円,http://nagurikankou.com/oobatoen.html
せせらぎキャンプ場,飯能市,上名栗975,飯能市名栗の美しい自然に囲まれたキャンプ場です。レンタル備品も充実しており、食品以外のほとんどが常備されています。人気の高いベランダ付きのバンガローで、合計１５棟用意されています。水泳やマスのつかみ取り、天然の釣りなどもお楽しみ頂けます。,０４２-９７９－００６２,７：００～１８：００,＜営業期間＞３月下旬～１１月※営業期間中は無休です。,＜デイキャンプ＞大人５００円/子供２００円＜テントサイト＞１区画４、２００円＜オートキャンプ＞１区画５、２５０円＜バンガロー＞７，３５０円,http://nagurikankou.com/seseragi.html
親鼻橋河原,皆野町,皆野親鼻地内,親鼻橋下の河原は車で下りられ、水道や水洗トイレもあり、春から夏にかけてファミリーやグループ連れが訪れます。鉄橋を渡るＳＬは、カメラマンのシャッターポイントとして知られています。長瀞ライン下りの乗船場でもあり、常にきれいな河原を保っています。　,0494-62-1462（皆野町役場）,＊＊＊,＊＊＊,環境美化協力金として車１台３００円※４月～１１月の土日祝祭日及び７/２０～８/３１の毎日,http://www.minano.gr.jp/taiken/index.htm
みどりの村,小鹿野町,飯田853番地,都市と山村と埼玉県が整備した自然と触れ合うための施設が「みどりの村」です。ここをとりまく西秩父の街並みと、秩父連山を一望出来る展望台をはじめ、園内の施設は季節ものを除き通年オープンしています。「子供の広場」「村の広場」「フィールドアスレチック」「サイクリング用道路」など様々な施設が設置されています。,0494-75-3441,９：００～１６：３０,１２/２９～１/３※その他各施設で定休日あり,＊＊＊,http://www.chichibu.ne.jp/~takahasi/
城峯公園キャンプ場,神川町,矢納１２７７,神泉村直営の城峯公園キャンプ場は、山の中腹、標高５００ｍにあり、北側は眼下に神流湖（下久保ダム）を有し、湖面を渡る風により朝夕涼しい場所にあります。初心者でも安心して楽しめるバンガローを基本としたキャンプ場です。秋には紅葉と冬桜が咲くなどキャンプ以外でも見どころがあります。,0274-52-3271（神川町神泉総合支所）,チェックイン：１５時/チェックアウト：１０時,営業期間：４月１日～１１月３０日まで,【バンガロー】Ａタイプ：１１，５５０円/Ｂタイプ：１８，９００円/Ｃタイプ：１４，７００円【テントサイト】テント持ち込み：１，５７０円/貸し出し：２，６２０円,http://www.town.kamikawa.saitama.jp/camp/index.html
木のむらキャンプ場,ときがわ町,大字大野1440,キャンプ場に沿って流れる清流にはヤマメ、カジカ、ウグイが戯れ、浅瀬が続くせせらぎは、川遊びには絶好です。調理棟、シャワー棟、トイレといった施設も充実しています。オートサイトには区画ごとに電源や流し場が併設され、多くの観光客で賑わっています。,0493-67-0850,８時３０分～１７時,１１月～３月,例／バンガロー１棟（５～６人用）６，０００円～など,http://www.town.tokigawa.lg.jp/forms/info/info.aspx?info_id=11573
こだまゴルフクラブ,本庄市,児玉町入浅見1060,戦略性に富んだ、個性的で繊細な１８ホールです。さらにコース全体の流れを調和させるために、アウト・イン各ホールのトータル距離のバランスを取ることで、全体を通して起承転結のあるコースです。,0495-72-5151,＊＊＊,＊＊＊,平日  　　１５，０００円土曜日  　２４，０００円日曜祝日  ２４，０００円（季節料金有り）,http://www.kodama-gc.com/
